,item
0,10607
1,1012201
2,82690
3,810271
4,146233
5,6844
6,916224
7,829557
8,80321
9,238
10,561
11,402900
12,495764
13,218
14,1061855
15,497
16,80278
17,1003581
18,329865
19,510
20,840326
21,810171
22,1001835
23,1064835
24,451048
25,684684
26,10198
27,810693
28,122917
29,78
30,9352
31,109445
32,810
33,850165
34,298618
35,205587
36,16859
37,447365
38,852436
39,697843
40,950
41,7485
42,624860
43,315162
44,522627
45,335
46,1128606
47,1227136
48,324857
49,1422
50,10693
51,353081
52,39108
53,997391
54,89
55,53182
56,1230393
57,507086
58,95
59,401200
60,693134
61,8358
62,467407
63,673
64,4977
65,22
66,563
67,808
68,10184
69,1145291
70,506517
71,11688
72,299537
73,1014590
74,12445
75,534
76,871
77,32657
78,615
79,4232
80,257344
81,389
82,1232289
83,857
84,674
85,9714
86,278154
87,296096
88,1133602
89,10998
90,988078
91,1174725
92,111
93,447332
94,539
95,980137
96,663712
97,293660
98,940721
99,8966
100,1206029
101,68726
102,324552
103,181533
104,281957
105,24
106,278
107,11360
108,395992
109,244786
110,893712
111,399579
112,930564
113,337339
114,673593
115,138843
116,875104
117,1074049
118,1046032
119,715931
120,10138
121,9502
122,10681
123,361743
124,345940
125,335797
126,20352
127,1058694
128,1032664
129,429
130,842675
131,626412
132,948
133,285
134,615777
135,91314
136,11
137,1015908
138,966220
139,458156
140,603661
141,569094
142,1071215
143,13475
144,8363
145,1217343
146,337404
147,263472
148,594
149,4951
150,792307
151,114
152,906126
153,82702
154,290098
155,1014209
156,372058
157,1230085
158,980489
159,698508
160,348
161,98
162,866398
163,507089
164,1231942
165,863851
166,438695
167,274855
168,1061181
169,291805
170,901362
171,940551
172,900667
173,105
174,2105
175,459151
176,128
177,9373
178,1008042
179,10882
180,400160
181,536554
182,862557
183,630
184,99861
185,283995
186,206487
187,666277
188,10193
189,500664
190,281338
191,585083
192,64688
193,245891
194,948713
195,1724
196,48650
197,920
198,545611
199,1163045
200,345887
201,1115749
202,44896
203,620705
204,13
205,994108
206,449443
207,155
208,387824
209,838240
210,724495
211,14836
212,414906
213,1152797
214,848326
215,360920
216,588228
217,14160
218,1020006
219,14
220,436270
221,464052
222,680
223,807
224,958263
225,399566
226,961323
227,98566
228,337167
229,1924
230,136799
231,718930
232,339964
233,928833
234,949567
235,804150
236,10020
237,72331
238,18239
239,1075794
240,569367
241,343611
242,635302
243,19995
244,976893
245,447362
246,1139829
247,101
248,976573
249,262500
250,242
251,293167
252,678512
253,265712
254,665
255,667538
256,957314
257,106646
258,77338
259,106
260,466272
261,57158
262,679
263,614934
264,667
265,82023
266,181808
267,769
268,119450
269,856289
270,118
271,502356
272,12444
273,1231953
274,1022659
275,597
276,44833
277,770
278,945729
279,12153
280,269149
281,818647
282,520763
283,1265
284,121
285,9732
286,1156255
287,346698
288,58
289,115543
290,36419
291,845643
292,851644
293,122
294,926393
295,634649
296,545609
297,263115
298,1083862
299,497698
300,888001
301,614479
302,8587
303,39254
304,271110
305,4348
306,1579
307,943134
308,642885
309,1366
310,406990
311,876792
312,50546
313,14128
314,13183
315,1189927
316,1865
317,10999
318,1726
319,961268
320,232672
321,675
322,937746
323,14574
324,396535
325,872585
326,118249
327,438148
328,671
329,375794
330,467244
331,336843
332,610150
333,120
334,744
335,566525
336,12
337,8392
338,621
339,297
340,420818
341,487047
342,101299
343,572802
344,351286
345,335977
346,127585
347,672
348,343668
349,423108
350,359724
351,585511
352,575264
353,841
354,865368
355,1040148
356,12429
357,530915
358,480530
359,8871
360,11224
361,753453
362,11619
363,210577
364,254
365,284054
366,558915
367,949
368,767
369,427641
370,150540
371,312221
372,1076487
373,752623
374,986070
375,9928
376,891699
377,975043
378,49026
379,476669
380,960876
381,11836
382,24238
383,791373
384,764
385,605886
386,568124
387,205596
388,802219
389,49046
390,13313
391,9806
392,862
393,240
394,744275
395,766507
396,615457
397,1495
398,1076364
399,197
400,927107
401,135397
402,508883
403,1143190
404,844416
405,964592
406,9769
407,557
408,558144
409,112160
410,1930
411,177572
412,912908
413,383498
414,9552
415,1701
416,12155
417,10674
418,943397
419,637649
420,3933
421,61979
422,76341
423,652
424,508947
425,61791
426,315635
427,1157049
428,400535
429,12092
430,466420
431,980285
432,4247
433,268896
434,1027073
435,667520
436,157336
437,73723
438,516486
439,339846
440,10144
441,594767
442,496450
443,1118033
444,1369
445,916605
446,4488
447,283366
448,438631
449,10527
450,646389
451,554596
452,401981
453,779782
454,574089
455,166426
456,603
457,453395
458,640
459,575322
460,385687
461,2109
462,7305
463,1034062
464,820232
465,493922
466,698438
467,955659
468,457232
469,9539
470,628866
471,156022
472,1212073
473,12437
474,4935
475,2322
476,1267
477,868759
478,85
479,1070514
480,968868
481,732459
482,574074
483,173129
484,603692
485,615656
486,1954
487,550988
488,496243
489,264660
490,228150
491,585
492,62
493,140607
494,419743
495,301528
496,273481
497,260514
498,454626
499,166428
500,804095
501,580489
502,530385
503,823482
504,68735
505,324786
506,284053
507,537915
508,527774
509,818397
510,198184
511,24428
512,290271
513,758009
514,1237835
515,75780
516,982940
517,562
518,68721
519,350
520,51828
521,38365
522,137113
523,508442
524,10191
525,598387
526,299576
527,299534
528,87428
529,718789
530,630586
531,39323
532,10555
533,36647
534,676547
535,150689
536,38
537,539681
538,9487
539,1093485
540,613504
541,100042
542,346672
543,330457
544,1059345
545,755437
546,975902
547,26123
548,526896
549,1060090
550,93456
551,6479
552,1171541
553,629542
554,1271
555,354912
556,856273
557,899112
558,11970
559,400928
560,602734
561,607
562,616037
563,411999
564,404368
565,474350
566,785084
567,616
568,550
569,341174
570,252
571,280
572,338953
573,370172
574,1229958
575,845387
576,949581
577,774825
578,425
579,35
580,9341
581,882569
582,459003
583,207703
584,845783
585,840430
586,140300
587,1232943
588,321612
589,529203
590,76757
591,638974
592,185
593,619803
594,1142740
595,294254
596,278927
597,18
598,695721
599,5174
600,1572
601,645710
602,1075175
603,512195
604,670292
605,10014
606,124905
607,1372
608,216015
609,296
610,8681
611,1029575
612,581726
613,225886
614,631842
615,955916
616,10229
617,49013
618,76600
619,8920
620,457332
621,254128
622,11036
623,581528
624,1187998
625,2062
626,505642
627,373571
628,429617
629,760774
630,284052
631,129
632,260346
633,675353
634,76338
635,411
636,190859
637,50620
638,1072342
639,198663
640,215
641,677179
642,760104
643,9659
644,72190
645,400155
646,601796
647,597922
648,10196
649,425909
650,1124127
651,926599
652,9426
653,141052
654,744857
655,38757
656,645488
657,848187
658,406759
659,205584
660,1211483
661,635910
662,325358
663,131634
664,1139566
665,630720
666,27578
667,62211
668,863
669,335984
670,76492
671,839369
672,512200
673,384018
674,779047
675,1229913
676,347201
677,46195
678,787699
679,1006462
680,370663
681,9023
682,1047925
683,11544
684,68718
685,726209
686,758323
687,812225
688,47933
689,602223
690,34851
691,1053544
692,11324
693,335787
694,408
695,1056360
696,8355
697,577922
698,675445
699,6977
700,9339
701,700348
702,884605
703,634492
704,811634
705,49444
706,159824
707,177677
708,27205
709,475557
710,1000081
711,937249
712,872906
713,809
714,75656
715,917594
716,1036561
717,102651
718,614930
719,1121575
720,424
721,168259
722,16869
723,844069
724,10009
725,333339
726,1008148
727,843794
728,299054
729,272
730,1020394
731,348893
732,71552
733,10195
734,209112
735,10830
736,187017
737,772
738,552688
739,734253
740,1050035
741,493529
742,915935
743,56292
744,116776
745,259316
746,813477
747,522938
748,158852
749,939914
750,4011
751,820525
752,814776
753,138832
754,565373
755,102382
756,173185
757,18240
758,249397
759,848538
760,37165
761,534205
762,149
763,982932
764,983507
765,1022796
766,453
767,820609
768,18095
769,79443
770,545742
771,38700
772,1030987
773,942881
774,1053592
775,744276
776,668482
777,830764
778,428045
779,934433
780,9453
781,320288
782,716263
783,854
784,945937
785,38055
786,921636
787,1049951
788,378236
789,736526
790,508943
791,446893
792,709631
793,9325
794,62177
795,1214314
796,609681
797,365620
798,524434
799,72105
800,854006
801,1183905
802,109428
803,14161
804,953
805,489
806,9603
807,951491
808,7555
809,260513
810,18785
811,10528
812,833326
813,958006
814,353491
815,436969
816,753342
817,979924
818,564
819,131631
820,417859
821,297802
822,977013
823,939335
824,9602
825,5548
826,315011
827,379686
828,1168709
829,126889
830,872976
831,605
832,559
833,843617
834,1149381
835,646385
836,109451
837,49051
838,8413
839,447277
840,800158
841,10895
842,346910
843,661374
844,685014
845,727209
846,1734
847,799379
848,181812
849,176
850,937895
851,179387
852,126963
853,940241
854,456740
855,919207
856,1172009
857,10625
858,81774
859,520758
860,1178734
861,1102776
862,270946
863,1135229
864,954
865,24021
866,931642
867,725064
868,510318
869,1002338
870,439079
871,843380
872,901908
873,460458
874,985939
875,311324
876,1072790
877,1155089
878,724209
879,246655
880,37135
881,739405
882,303857
883,944401
884,897066
885,713704
886,8275
887,9738
888,808396
889,47971
890,11228
891,540841
892,933131
893,565770
894,50619
895,615173
896,169
897,28209
898,57800
899,125509
900,853387
901,924
902,829560
903,878508
904,567604
905,1211957
906,918930
907,1151534
908,717728
909,147441
910,639933
911,949423
912,929
913,705996
914,979275
915,39858
916,850880
917,1039690
918,206647
919,660
920,864101
921,259693
922,338970
923,87101
924,335983
925,1103825
926,1007826
927,290859
928,214756
929,807172
930,790462
931,1000475
932,297762
933,324852
934,889675
935,10192
936,968051
937,840382
